Date,Type,Count
2020-07-13,Confirmed,2617
2020-07-13,Recovered,1981
2020-07-13,Deaths,11
2020-07-13,Active,625
2020-07-14,Confirmed,2646
2020-07-14,Recovered,1988
2020-07-14,Deaths,11
2020-07-14,Active,647
2020-07-15,Confirmed,2665
2020-07-15,Recovered,2001
2020-07-15,Deaths,11
2020-07-15,Active,653
2020-07-16,Confirmed,2674
2020-07-16,Recovered,2007
2020-07-16,Deaths,11
2020-07-16,Active,656
2020-07-17,Confirmed,2687
2020-07-17,Recovered,2012
2020-07-17,Deaths,11
2020-07-17,Active,2687
2020-07-18,Confirmed,2697
2020-07-18,Recovered,2023
2020-07-18,Deaths,11
2020-07-18,Active,663
2020-07-19,Confirmed,2704
2020-07-19,Recovered,2035
2020-07-19,Deaths,11
2020-07-19,Active,658
2020-07-20,Confirmed,2724
2020-07-20,Recovered,2041
2020-07-20,Deaths,11
2020-07-20,Active,672
2020-07-21,Confirmed,2730
2020-07-21,Recovered,2048
2020-07-21,Deaths,11
2020-07-21,Active,671
2020-07-22,Confirmed,2730
2020-07-22,Recovered,2064
2020-07-22,Deaths,11
2020-07-22,Active,655
2020-07-23,Confirmed,2752
2020-07-23,Recovered,2077
2020-07-23,Deaths,11
2020-07-23,Active,664
2020-07-24,Confirmed,2753
2020-07-24,Recovered,2094
2020-07-24,Deaths,11
2020-07-24,Active,648
2020-07-25,Confirmed,2764
2020-07-25,Recovered,2103
2020-07-25,Deaths,11
2020-07-25,Active,650
2020-07-26,Confirmed,2770
2020-07-26,Recovered,2106
2020-07-26,Deaths,11
2020-07-26,Active,653
2020-07-27,Confirmed,2782
2020-07-27,Recovered,2121
2020-07-27,Deaths,11
2020-07-27,Active,650
2020-07-28,Confirmed,2805
2020-07-28,Recovered,2296
2020-07-28,Deaths,11
2020-07-28,Active,498
2020-07-29,Confirmed,2810
2020-07-29,Recovered,2317
2020-07-29,Deaths,11
2020-07-29,Active,482
2020-07-30,Confirmed,2811
2020-07-30,Recovered,2333
2020-07-30,Deaths,11
2020-07-30,Active,467
2020-07-31,Confirmed,2814
2020-07-31,Recovered,2391
2020-07-31,Deaths,11
2020-07-31,Active,412
2020-08-01,Confirmed,2815
2020-08-01,Recovered,2439
2020-08-01,Deaths,11
2020-08-01,Active,365
2020-08-02,Confirmed,2815
2020-08-02,Recovered,2514
2020-08-02,Deaths,11
2020-08-02,Active,290
2020-08-03,Confirmed,2823
2020-08-03,Recovered,2517
2020-08-03,Deaths,11
2020-08-03,Active,295
2020-08-04,Confirmed,2828
2020-08-04,Recovered,2524
2020-08-04,Deaths,11
2020-08-04,Active,293
2020-08-05,Confirmed,2834
2020-08-05,Recovered,2537
2020-08-05,Deaths,11
2020-08-05,Active,286
2020-08-06,Confirmed,2839
2020-08-06,Recovered,2541
2020-08-06,Deaths,11
2020-08-06,Active,287
2020-08-07,Confirmed,2839
2020-08-07,Recovered,2564
2020-08-07,Deaths,11
2020-08-07,Active,264
2020-08-08,Confirmed,2839
2020-08-08,Recovered,2576
2020-08-08,Deaths,11
2020-08-08,Active,252
2020-08-09,Confirmed,2841
2020-08-09,Recovered,2579
2020-08-09,Deaths,11
2020-08-09,Active,251
2020-08-10,Confirmed,2844
2020-08-10,Recovered,2593
2020-08-10,Deaths,11
2020-08-10,Active,240
2020-08-11,Confirmed,2871
2020-08-11,Recovered,2622
2020-08-11,Deaths,11
2020-08-11,Active,238
2020-08-12,Confirmed,2880
2020-08-12,Recovered,2638
2020-08-12,Deaths,11
2020-08-12,Active,231
2020-08-13,Confirmed,2881
2020-08-13,Recovered,2646
2020-08-13,Deaths,11
2020-08-13,Active,224
2020-08-14,Confirmed,2882
2020-08-14,Recovered,2658
2020-08-14,Deaths,11
2020-08-14,Active,213
2020-08-15,Confirmed,2886
2020-08-15,Recovered,2666
2020-08-15,Deaths,11
2020-08-15,Active,209
2020-08-16,Confirmed,2890
2020-08-16,Recovered,2670
2020-08-16,Deaths,11
2020-08-16,Active,209
2020-08-17,Confirmed,2893
2020-08-17,Recovered,2676
2020-08-17,Deaths,11
2020-08-17,Active,206
2020-08-18,Confirmed,2900
2020-08-18,Recovered,2755
2020-08-18,Deaths,11
2020-08-18,Active,134
2020-08-19,Confirmed,2902
2020-08-19,Recovered,2760
2020-08-19,Deaths,11
2020-08-19,Active,131
2020-08-20,Confirmed,2902
2020-08-20,Recovered,2765
2020-08-20,Deaths,11
2020-08-20,Active,126
2020-08-21,Confirmed,2918
2020-08-21,Recovered,2789
2020-08-21,Deaths,11
2020-08-21,Active,118
2020-08-22,Confirmed,2941
2020-08-22,Recovered,2798
2020-08-22,Deaths,11
2020-08-22,Active,132
2020-08-23,Confirmed,2947
2020-08-23,Recovered,2805
2020-08-23,Deaths,12
2020-08-23,Active,130
2020-08-24,Confirmed,2953
2020-08-24,Recovered,2811
2020-08-24,Deaths,12
2020-08-24,Active,130
2020-08-25,Confirmed,2959
2020-08-25,Recovered,2816
2020-08-25,Deaths,12
2020-08-25,Active,131
2020-08-26,Confirmed,2971
2020-08-26,Recovered,2819
2020-08-26,Deaths,12
2020-08-26,Active,140
2020-08-27,Confirmed,2984
2020-08-27,Recovered,2830
2020-08-27,Deaths,12
2020-08-27,Active,142
2020-08-28,Confirmed,2986
2020-08-28,Recovered,2842
2020-08-28,Deaths,12
2020-08-28,Active,132
2020-08-29,Confirmed,2989
2020-08-29,Recovered,2849
2020-08-29,Deaths,12
2020-08-29,Active,128
2020-08-30,Confirmed,2995
2020-08-30,Recovered,2860
2020-08-30,Deaths,12
2020-08-30,Active,123
2020-08-31,Confirmed,3012
2020-08-31,Recovered,2868
2020-08-31,Deaths,12
2020-08-31,Active,132
2020-09-01,Confirmed,3071
2020-09-01,Recovered,2879
2020-09-01,Deaths,12
2020-09-01,Active,180
2020-09-02,Confirmed,3092
2020-09-02,Recovered,2883
2020-09-02,Deaths,12
2020-09-02,Active,197
2020-09-03,Confirmed,3101
2020-09-03,Recovered,2889
2020-09-03,Deaths,12
2020-09-03,Active,200
2020-09-04,Confirmed,3111
2020-09-04,Recovered,2907
2020-09-04,Deaths,12
2020-09-04,Active,192
2020-09-05,Confirmed,3115
2020-09-05,Recovered,2918
2020-09-05,Deaths,12
2020-09-05,Active,185
2020-09-06,Confirmed,3121
2020-09-06,Recovered,2925
2020-09-06,Deaths,12
2020-09-06,Active,184
2020-09-07,Confirmed,3123
2020-09-07,Recovered,2926
2020-09-07,Deaths,12
2020-09-07,Active,185
2020-09-08,Confirmed,3123
2020-09-08,Recovered,2935
2020-09-08,Deaths,12
2020-09-08,Active,176
2020-09-09,Confirmed,3140
2020-09-09,Recovered,2946
2020-09-09,Deaths,12
2020-09-09,Active,182
2020-09-10,Confirmed,3147
2020-09-10,Recovered,2955
2020-09-10,Deaths,12
2020-09-10,Active,180
2020-09-11,Confirmed,3155
2020-09-11,Recovered,2969
2020-09-11,Deaths,12
2020-09-11,Active,174
2020-09-12,Confirmed,3169
2020-09-12,Recovered,2983
2020-09-12,Deaths,12
2020-09-12,Active,174
2020-09-13,Confirmed,3195
2020-09-13,Recovered,2996
2020-09-13,Deaths,12
2020-09-13,Active,187
2020-09-14,Confirmed,3234
2020-09-14,Recovered,3005
2020-09-14,Deaths,12
2020-09-14,Active,217
2020-09-15,Confirmed,3263
2020-09-15,Recovered,3016
2020-09-15,Deaths,13
2020-09-15,Active,234
2020-09-16,Confirmed,3271
2020-09-16,Recovered,3021
2020-09-16,Deaths,13
2020-09-16,Active,237
2020-09-17,Confirmed,3271
2020-09-17,Recovered,3043
2020-09-17,Deaths,13
2020-09-17,Active,215
2020-09-18,Confirmed,3276
2020-09-18,Recovered,3060
2020-09-18,Deaths,13
2020-09-18,Active,203
2020-09-19,Confirmed,3281
2020-09-19,Recovered,3070
2020-09-19,Deaths,13
2020-09-19,Active,198
2020-09-20,Confirmed,3283
2020-09-20,Recovered,3088
2020-09-20,Deaths,13
2020-09-20,Active,182
2020-09-21,Confirmed,3287
2020-09-21,Recovered,3100
2020-09-21,Deaths,13
2020-09-21,Active,174
2020-09-22,Confirmed,3299
2020-09-22,Recovered,3118
2020-09-22,Deaths,13
2020-09-22,Active,168
2020-09-23,Confirmed,3313
2020-09-23,Recovered,3129
2020-09-23,Deaths,13
2020-09-23,Active,171
2020-09-24,Confirmed,3324
2020-09-24,Recovered,3142
2020-09-24,Deaths,13
2020-09-24,Active,169
2020-09-25,Confirmed,3333
2020-09-25,Recovered,3158
2020-09-25,Deaths,13
2020-09-25,Active,162
2020-09-26,Confirmed,3345
2020-09-26,Recovered,3186
2020-09-26,Deaths,13
2020-09-26,Active,146
2020-09-27,Confirmed,3349
2020-09-27,Recovered,3208
2020-09-27,Deaths,13
2020-09-27,Active,128
2020-09-28,Confirmed,3360
2020-09-28,Recovered,3210
2020-09-28,Deaths,13
2020-09-28,Active,137
2020-09-29,Confirmed,3363
2020-09-29,Recovered,3230
2020-09-29,Deaths,13
2020-09-29,Active,120
2020-09-30,Confirmed,3374
2020-09-30,Recovered,3230
2020-09-30,Deaths,13
2020-09-30,Active,131
2020-10-01,Confirmed,3380
2020-10-01,Recovered,3233
2020-10-01,Deaths,13
2020-10-01,Active,134
2020-10-02,Confirmed,3382
2020-10-02,Recovered,3245
2020-10-02,Deaths,13
2020-10-02,Active,124
2020-10-03,Confirmed,3388
2020-10-03,Recovered,3254
2020-10-03,Deaths,13
2020-10-03,Active,121
2020-10-04,Confirmed,3396
2020-10-04,Recovered,3258
2020-10-04,Deaths,13
2020-10-04,Active,125
2020-10-05,Confirmed,3471
2020-10-05,Recovered,3259
2020-10-05,Deaths,13
2020-10-05,Active,199
2020-10-06,Confirmed,3733
2020-10-06,Recovered,3266
2020-10-06,Deaths,13
2020-10-06,Active,454
2020-10-07,Confirmed,4252
2020-10-07,Recovered,3274
2020-10-07,Deaths,13
2020-10-07,Active,965
2020-10-08,Confirmed,4459
2020-10-08,Recovered,3278
2020-10-08,Deaths,13
2020-10-08,Active,1168
2020-10-09,Confirmed,4488
2020-10-09,Recovered,3296
2020-10-09,Deaths,13
2020-10-09,Active,1179
2020-10-10,Confirmed,4523
2020-10-10,Recovered,3306
2020-10-10,Deaths,13
2020-10-10,Active,1204
2020-10-11,Confirmed,4628
2020-10-11,Recovered,3307
2020-10-11,Deaths,13
2020-10-11,Active,1308
2020-10-12,Confirmed,4752
2020-10-12,Recovered,3317
2020-10-12,Deaths,13
2020-10-12,Active,1422
2020-10-13,Confirmed,4844
2020-10-13,Recovered,3328
2020-10-13,Deaths,13
2020-10-13,Active,1503
2020-10-14,Confirmed,5038
2020-10-14,Recovered,3357
2020-10-14,Deaths,13
2020-10-14,Active,1668
2020-10-15,Confirmed,5170
2020-10-15,Recovered,3380
2020-10-15,Deaths,13
2020-10-15,Active,1777
2020-10-16,Confirmed,5244
2020-10-16,Recovered,3385
2020-10-16,Deaths,13
2020-10-16,Active,1846
2020-10-17,Confirmed,5354
2020-10-17,Recovered,3395
2020-10-17,Deaths,13
2020-10-17,Active,1946
2020-10-18,Confirmed,5475
2020-10-18,Recovered,3403
2020-10-18,Deaths,13
2020-10-18,Active,2059
2020-10-19,Confirmed,5585
2020-10-19,Recovered,3440
2020-10-19,Deaths,13
2020-10-19,Active,2132
2020-10-20,Confirmed,5685
2020-10-20,Recovered,3457
2020-10-20,Deaths,13
2020-10-20,Active,2215
2020-10-21,Confirmed,5811
2020-10-21,Recovered,3501
2020-10-21,Deaths,13
2020-10-21,Active,2297
2020-10-22,Confirmed,5978
2020-10-22,Recovered,3561
2020-10-22,Deaths,13
2020-10-22,Active,2404
2020-10-23,Confirmed,6287
2020-10-23,Recovered,3644
2020-10-23,Deaths,14
2020-10-23,Active,2629
2020-10-24,Confirmed,7153
2020-10-24,Recovered,3714
2020-10-24,Deaths,15
2020-10-24,Active,3424
2020-10-25,Confirmed,7521
2020-10-25,Recovered,3803
2020-10-25,Deaths,15
2020-10-25,Active,3703
2020-10-26,Confirmed,7872
2020-10-26,Recovered,3933
2020-10-26,Deaths,16
2020-10-26,Active,3923
2020-10-27,Confirmed,8413
2020-10-27,Recovered,4043
2020-10-27,Deaths,16
2020-10-27,Active,4354
2020-10-28,Confirmed,8870
2020-10-28,Recovered,4075
2020-10-28,Deaths,19
2020-10-28,Active,4776
2020-10-29,Confirmed,9205
2020-10-29,Recovered,4142
2020-10-29,Deaths,19
2020-10-29,Active,5044
2020-10-30,Confirmed,9791
2020-10-30,Recovered,4282
2020-10-30,Deaths,19
2020-10-30,Active,5490
2020-10-31,Confirmed,10424
2020-10-31,Recovered,4399
2020-10-31,Deaths,20
2020-10-31,Active,6005
2020-11-01,Confirmed,10663
2020-11-01,Recovered,4905
2020-11-01,Deaths,20
2020-11-01,Active,5738
2020-11-02,Confirmed,11060
2020-11-02,Recovered,5249
2020-11-02,Deaths,21
2020-11-02,Active,5790
2020-11-03,Confirmed,11335
2020-11-03,Recovered,5581
2020-11-03,Deaths,21
2020-11-03,Active,5733
2020-11-04,Confirmed,11744
2020-11-04,Recovered,5858
2020-11-04,Deaths,23
2020-11-04,Active,5863
2020-11-05,Confirmed,12187
2020-11-05,Recovered,6623
2020-11-05,Deaths,24
2020-11-05,Active,5540
2020-11-06,Confirmed,12570
2020-11-06,Recovered,7186
2020-11-06,Deaths,29
2020-11-06,Active,5355
2020-11-07,Confirmed,12970
2020-11-07,Recovered,7723
2020-11-07,Deaths,30
2020-11-07,Active,5217
2020-11-08,Confirmed,13419
2020-11-08,Recovered,8285
2020-11-08,Deaths,34
2020-11-08,Active,5100
2020-11-09,Confirmed,13929
2020-11-09,Recovered,8880
2020-11-09,Deaths,35
2020-11-09,Active,5014
2020-11-10,Confirmed,14285
2020-11-10,Recovered,9537
2020-11-10,Deaths,36
2020-11-10,Active,4712
2020-11-11,Confirmed,14715
2020-11-11,Recovered,10183
2020-11-11,Deaths,41
2020-11-11,Active,4491
2020-11-12,Confirmed,15350
2020-11-12,Recovered,10653
2020-11-12,Deaths,46
2020-11-12,Active,4651
2020-11-13,Confirmed,15723
2020-11-13,Recovered,11031
2020-11-13,Deaths,48
2020-11-13,Active,4644
2020-11-14,Confirmed,16191
2020-11-14,Recovered,11324
2020-11-14,Deaths,53
2020-11-14,Active,4814
2020-11-15,Confirmed,16583
2020-11-15,Recovered,11495
2020-11-15,Deaths,53
2020-11-15,Active,5035
2020-11-16,Confirmed,17287
2020-11-16,Recovered,11806
2020-11-16,Deaths,58
2020-11-16,Active,5423
2020-11-17,Confirmed,17674
2020-11-17,Recovered,12210
2020-11-17,Deaths,61
2020-11-17,Active,5403
2020-11-18,Confirmed,18075
2020-11-18,Recovered,12587
2020-11-18,Deaths,66
2020-11-18,Active,5422
2020-11-19,Confirmed,18402
2020-11-19,Recovered,12903
2020-11-19,Deaths,69
2020-11-19,Active,5430
2020-11-20,Confirmed,18841
2020-11-20,Recovered,13271
2020-11-20,Deaths,73
2020-11-20,Active,5497
2020-11-21,Confirmed,19280
2020-11-21,Recovered,13590
2020-11-21,Deaths,74
2020-11-21,Active,5616
2020-11-22,Confirmed,19771
2020-11-22,Recovered,14069
2020-11-22,Deaths,83
2020-11-22,Active,5619
2020-11-23,Confirmed,20171
2020-11-23,Recovered,14497
2020-11-23,Deaths,87
2020-11-23,Active,5587
2020-11-24,Confirmed,20508
2020-11-24,Recovered,14962
2020-11-24,Deaths,90
2020-11-24,Active,5456
2020-11-25,Confirmed,20967
2020-11-25,Recovered,15447
2020-11-25,Deaths,94
2020-11-25,Active,5426
2020-11-26,Confirmed,21469
2020-11-26,Recovered,15816
2020-11-26,Deaths,96
2020-11-26,Active,5557
2020-11-27,Confirmed,22028
2020-11-27,Recovered,16226
2020-11-27,Deaths,99
2020-11-27,Active,5703
2020-11-28,Confirmed,22501
2020-11-28,Recovered,16656
2020-11-28,Deaths,107
2020-11-28,Active,5738
2020-11-29,Confirmed,22988
2020-11-29,Recovered,17002
2020-11-29,Deaths,109
2020-11-29,Active,5877
2020-11-30,Confirmed,23484
2020-11-30,Recovered,17560
2020-11-30,Deaths,116
2020-11-30,Active,5808
2020-12-01,Confirmed,23987
