Date,District,Count
2021-08-20,Mullaitivu,1212
2021-08-20,Kilinochchi,2275
2021-08-20,Mannar,1584
2021-08-21,Colombo,87868
2021-08-21,Gampaha,69966
2021-08-21,Kalutara,40574
2021-08-21,Kandy,16290
2021-08-21,Kurunagala,18344
2021-08-21,Galle,20426
2021-08-21,Ratnapura,13279
2021-08-21,Matara,9113
2021-08-21,Matale,7729
2021-08-21,Nuwara Eliya,9237
2021-08-21,Kegalle,7364
2021-08-21,Jaffna,7689
2021-08-21,Badulla,8752
2021-08-21,Puttalam,7443
2021-08-21,Anuradhapura,5451
2021-08-21,Hambantota,6335
2021-08-21,Trincomalee,3479
2021-08-21,Monaragala,4651
2021-08-21,Polonnaruwa,3551
2021-08-21,Ampara,4014
2021-08-21,Kalmunai,3432
2021-08-21,Batticaloa,3831
2021-08-21,Vavuniya,2180
2021-08-21,Mullaitivu,1218
2021-08-21,Kilinochchi,2279
2021-08-21,Mannar,1594
2021-08-22,Colombo,88952
2021-08-22,Gampaha,70545
2021-08-22,Kalutara,40823
2021-08-22,Kandy,16359
2021-08-22,Kurunagala,18546
2021-08-22,Galle,20571
2021-08-22,Ratnapura,13409
2021-08-22,Matara,9181
2021-08-22,Matale,7847
2021-08-22,Nuwara Eliya,9387
2021-08-22,Kegalle,7504
2021-08-22,Jaffna,7809
2021-08-22,Badulla,8757
2021-08-22,Puttalam,7514
2021-08-22,Anuradhapura,5580
2021-08-22,Hambantota,6594
2021-08-22,Trincomalee,3488
2021-08-22,Monaragala,4686
2021-08-22,Polonnaruwa,3593
2021-08-22,Ampara,4020
2021-08-22,Kalmunai,3448
2021-08-22,Batticaloa,3897
2021-08-22,Vavuniya,2224
2021-08-22,Mullaitivu,1224
2021-08-22,Kilinochchi,2284
2021-08-22,Mannar,1607
2021-08-23,Colombo,89643
2021-08-23,Gampaha,71568
2021-08-23,Kalutara,41026
2021-08-23,Kandy,16599
2021-08-23,Kurunagala,18791
2021-08-23,Galle,20804
2021-08-23,Ratnapura,13446
2021-08-23,Matara,9316
2021-08-23,Matale,7903
2021-08-23,Nuwara Eliya,9638
2021-08-23,Kegalle,7521
2021-08-23,Jaffna,7908
2021-08-23,Badulla,8817
2021-08-23,Puttalam,7558
2021-08-23,Anuradhapura,5650
2021-08-23,Hambantota,6750
2021-08-23,Trincomalee,3502
2021-08-23,Monaragala,4701
2021-08-23,Polonnaruwa,3623
2021-08-23,Ampara,4020
2021-08-23,Kalmunai,3547
2021-08-23,Batticaloa,4006
2021-08-23,Vavuniya,2253
2021-08-23,Mullaitivu,1230
2021-08-23,Kilinochchi,2285
2021-08-23,Mannar,1623
2021-08-24,Colombo,90813
2021-08-24,Gampaha,72427
2021-08-24,Kalutara,41391
2021-08-24,Kandy,16735
2021-08-24,Kurunagala,18890
2021-08-24,Galle,21158
2021-08-24,Ratnapura,13501
2021-08-24,Matara,9353
2021-08-24,Matale,7914
2021-08-24,Nuwara Eliya,9828
2021-08-24,Kegalle,7560
2021-08-24,Jaffna,8092
2021-08-24,Badulla,8824
2021-08-24,Puttalam,7629
2021-08-24,Anuradhapura,5779
2021-08-24,Hambantota,7010
2021-08-24,Trincomalee,3502
2021-08-24,Monaragala,4738
2021-08-24,Polonnaruwa,3626
2021-08-24,Ampara,4084
2021-08-24,Kalmunai,3587
2021-08-24,Batticaloa,4153
2021-08-24,Vavuniya,2253
2021-08-24,Mullaitivu,1230
2021-08-24,Kilinochchi,2285
2021-08-24,Mannar,1623
2021-08-25,Colombo,92231
2021-08-25,Gampaha,73970
2021-08-25,Kalutara,42067
2021-08-25,Kandy,16899
2021-08-25,Kurunagala,19090
2021-08-25,Galle,22251
2021-08-25,Ratnapura,13584
2021-08-25,Matara,9520
2021-08-25,Matale,8081
2021-08-25,Nuwara Eliya,9902
2021-08-25,Kegalle,7696
2021-08-25,Jaffna,8202
2021-08-25,Badulla,8955
2021-08-25,Puttalam,7801
2021-08-25,Anuradhapura,5906
2021-08-25,Hambantota,7377
2021-08-25,Trincomalee,3548
2021-08-25,Monaragala,4821
2021-08-25,Polonnaruwa,3763
2021-08-25,Ampara,4429
2021-08-25,Kalmunai,3868
2021-08-25,Batticaloa,4604
2021-08-25,Vavuniya,2273
2021-08-25,Mullaitivu,1234
2021-08-25,Kilinochchi,3098
2021-08-25,Mannar,1628
2021-08-26,Colombo,93355
2021-08-26,Gampaha,74515
2021-08-26,Kalutara,42352
2021-08-26,Kandy,17029
2021-08-26,Kurunagala,19413
2021-08-26,Galle,22541
2021-08-26,Ratnapura,13719
2021-08-26,Matara,9728
2021-08-26,Matale,8234
2021-08-26,Nuwara Eliya,9942
2021-08-26,Kegalle,7789
2021-08-26,Jaffna,8369
2021-08-26,Badulla,9048
2021-08-26,Puttalam,7943
2021-08-26,Anuradhapura,5919
2021-08-26,Hambantota,7587
2021-08-26,Trincomalee,3561
2021-08-26,Monaragala,5042
2021-08-26,Polonnaruwa,3805
2021-08-26,Ampara,4429
2021-08-26,Kalmunai,3916
2021-08-26,Batticaloa,4711
2021-08-26,Vavuniya,2278
2021-08-26,Mullaitivu,1262
2021-08-26,Kilinochchi,3105
2021-08-26,Mannar,1632
2021-08-27,Colombo,94398
2021-08-27,Gampaha,75660
2021-08-27,Kalutara,42549
2021-08-27,Kandy,17193
2021-08-27,Kurunagala,19656
2021-08-27,Galle,22660
2021-08-27,Ratnapura,13834
2021-08-27,Matara,9761
2021-08-27,Matale,8269
2021-08-27,Nuwara Eliya,10011
2021-08-27,Kegalle,7918
2021-08-27,Jaffna,8428
2021-08-27,Badulla,9248
2021-08-27,Puttalam,8035
2021-08-27,Anuradhapura,6145
2021-08-27,Hambantota,7613
2021-08-27,Trincomalee,3570
2021-08-27,Monaragala,5350
2021-08-27,Polonnaruwa,3817
2021-08-27,Ampara,4465
2021-08-27,Kalmunai,3921
2021-08-27,Batticaloa,4801
2021-08-27,Vavuniya,2286
2021-08-27,Mullaitivu,1269
2021-08-27,Kilinochchi,3142
2021-08-27,Mannar,1663
2021-08-28,Colombo,95431
2021-08-28,Gampaha,76574
2021-08-28,Kalutara,42938
2021-08-28,Kandy,17274
2021-08-28,Kurunagala,20130
2021-08-28,Galle,22812
2021-08-28,Ratnapura,13902
2021-08-28,Matara,9873
2021-08-28,Matale,8320
2021-08-28,Nuwara Eliya,10183
2021-08-28,Kegalle,7983
2021-08-28,Jaffna,8540
2021-08-28,Badulla,9406
2021-08-28,Puttalam,8119
2021-08-28,Anuradhapura,6149
2021-08-28,Hambantota,7938
2021-08-28,Trincomalee,3580
2021-08-28,Monaragala,5599
2021-08-28,Polonnaruwa,3842
2021-08-28,Ampara,4499
2021-08-28,Kalmunai,3931
2021-08-28,Batticaloa,4823
2021-08-28,Vavuniya,2300
2021-08-28,Mullaitivu,1273
2021-08-28,Kilinochchi,3142
2021-08-28,Mannar,1666
2021-08-29,Colombo,96454
2021-08-29,Gampaha,77633
2021-08-29,Kalutara,43332
2021-08-29,Kandy,17316
2021-08-29,Kurunagala,20535
2021-08-29,Galle,22996
2021-08-29,Ratnapura,13966
2021-08-29,Matara,9939
2021-08-29,Matale,8381
2021-08-29,Nuwara Eliya,10368
2021-08-29,Kegalle,8074
2021-08-29,Jaffna,8611
2021-08-29,Badulla,9484
2021-08-29,Puttalam,8218
2021-08-29,Anuradhapura,6327
2021-08-29,Hambantota,8059
2021-08-29,Trincomalee,3660
2021-08-29,Monaragala,5720
2021-08-29,Polonnaruwa,3904
2021-08-29,Ampara,4502
2021-08-29,Kalmunai,3945
2021-08-29,Batticaloa,4895
2021-08-29,Vavuniya,2321
2021-08-29,Mullaitivu,1286
2021-08-29,Kilinochchi,3144
2021-08-29,Mannar,1667
2021-08-30,Colombo,97663
2021-08-30,Gampaha,78708
2021-08-30,Kalutara,43619
2021-08-30,Kandy,17434
2021-08-30,Kurunagala,20830
